"airport","airportName","chart","status","codedId","faaExcluded","entries","incompleteEntries","unofferedTransitions","entryWarnings","plateUrl"
"KSJN","ST JOHNS INDUSTRIAL AIR PARK","RNAV (GPS) RWY 32","matched","KSJN:R32","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/06586R32.PDF"
"KSOW","SHOW LOW RGNL","RNAV (GPS) RWY 25","matched","KSOW:R25","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/06783R25.PDF"
"KTUS","TUCSON INTL","ILS OR LOC RWY 12","matched","KTUS:I12","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00430IL12.PDF"
"KTUS","TUCSON INTL","RNAV (RNP) Y RWY 12","matched","KTUS:H12-Y","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00430RRY12.PDF"
"KTUS","TUCSON INTL","RNAV (RNP) Y RWY 30","matched","KTUS:H30-Y","false","7","0","","","https://aeronav.faa.gov/d-tpp/2609/00430RRY30.PDF"
"KTUS","TUCSON INTL","RNAV (GPS) RWY 04","matched","KTUS:R04","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00430R4.PDF"
"KTUS","TUCSON INTL","RNAV (GPS) RWY 22","matched","KTUS:R22","false","6","0","","","https://aeronav.faa.gov/d-tpp/2609/00430R22.PDF"
"KTUS","TUCSON INTL","RNAV (GPS) Z RWY 12","matched","KTUS:R12-Z","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00430RZ12.PDF"
"KTUS","TUCSON INTL","RNAV (GPS) Z RWY 30","matched","KTUS:R30-Z","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00430RZ30.PDF"
"KTUS","TUCSON INTL","VOR OR TACAN RWY 12","matched","KTUS:S12","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00430VT12.PDF"
"KTUS","TUCSON INTL","VOR OR TACAN RWY 30","matched","KTUS:S30","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00430VT30.PDF"
"KTYL","TAYLOR","RNAV (GPS) RWY 21","matched","KTYL:R21","false","7","0","","","https://aeronav.faa.gov/d-tpp/2609/09422R21.PDF"
"P08","COOLIDGE MUNI","RNAV (GPS) RWY 23","matched","P08:R23","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/09213R23.PDF"
"P08","COOLIDGE MUNI","VOR RWY 05","no-exact-coded-match","P08:S05","true","0","0","","","https://aeronav.faa.gov/d-tpp/2609/09213V5.PDF"
"P13","SAN CARLOS APACHE","RNAV (GPS) RWY 27","matched","P13:R27","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/06635R27.PDF"
"P19","STELLAR AIRPARK","RNAV (GPS) RWY 35","matched","P19:R35","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/06022R35.PDF"
"P20","AVI SUQUILLA","RNAV (GPS) RWY 02","matched","P20:R02","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/06633R2.PDF"
"P20","AVI SUQUILLA","VOR/DME-A","matched","P20:VDM-A","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06633VDA.PDF"
"P33","COCHISE COUNTY","RNAV (GPS) RWY 03","matched","P33:R03","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00085R3.PDF"
"P33","COCHISE COUNTY","RNAV (GPS) RWY 21","matched","P33:R21","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00085R21.PDF"
"P52","COTTONWOOD","RNAV (GPS) RWY 32","matched","P52:R32","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/09872R32.PDF"
